patient,channel,train_auc,test_auc,n_c1,n_c2,n_train,n_test,error
EMU038,1,0.737778,0.485791,431,431,30,832,
EMU038,2,0.591111,0.535769,431,431,30,832,
EMU038,3,0.671111,0.580916,431,431,30,832,
EMU038,4,0.742222,0.613657,431,431,30,832,
EMU038,5,0.617778,0.514146,431,431,30,832,
EMU038,6,0.822222,0.603897,431,431,30,832,
EMU038,7,0.697778,0.599552,431,431,30,832,
EMU038,8,0.755556,0.6947,431,431,30,832,
EMU038,9,0.911111,0.798083,431,431,30,832,
EMU038,10,0.826667,0.806849,431,431,30,832,
EMU038,11,0.64,0.620169,431,431,30,832,
EMU038,12,0.711111,0.678566,431,431,30,832,
EMU038,13,0.764444,0.571041,431,431,30,832,
EMU038,14,0.764444,0.700051,431,431,30,832,
EMU038,15,0.76,0.484716,431,431,30,832,
EMU038,16,0.715556,0.437696,431,431,30,832,
EMU038,17,0.648889,0.519577,431,431,30,832,
EMU038,18,0.68,0.450357,431,431,30,832,
EMU038,19,0.631111,0.564621,431,431,30,832,
EMU038,20,0.808889,0.677671,431,431,30,832,
EMU038,21,0.706667,0.66371,431,431,30,832,
EMU038,22,0.6,0.70045,431,431,30,832,
EMU038,23,0.68,0.680196,431,431,30,832,
EMU038,24,0.786667,0.721859,431,431,30,832,
EMU038,25,0.795556,0.741431,431,431,30,832,
EMU038,26,0.711111,0.77542,431,431,30,832,
EMU038,27,0.791111,0.634881,431,431,30,832,
EMU038,28,0.657778,0.565863,431,431,30,832,
EMU038,29,0.835556,0.625196,431,431,30,832,
EMU038,30,0.813333,0.614373,431,431,30,832,
EMU038,31,0.742222,0.607659,431,431,30,832,
EMU038,32,0.72,0.532284,431,431,30,832,
EMU038,33,0.608889,0.54743,431,431,30,832,
EMU038,34,0.84,0.576056,431,431,30,832,
EMU038,35,0.697778,0.56651,431,431,30,832,
EMU038,36,0.635556,0.539906,431,431,30,832,
EMU038,37,0.635556,0.506755,431,431,30,832,
EMU038,38,0.671111,0.548314,431,431,30,832,
EMU038,39,0.755556,0.490286,431,431,30,832,
EMU038,40,0.631111,0.487189,431,431,30,832,
EMU038,41,0.706667,0.504894,431,431,30,832,
EMU038,42,0.662222,0.507431,431,431,30,832,
EMU038,43,0.804444,0.707494,431,431,30,832,
EMU038,44,0.826667,0.652113,431,431,30,832,
