patient,channel,train_auc,test_auc,n_c1,n_c2,n_train,n_test,error
EMU030,1,0.608889,0.488879,231,245,30,446,
EMU030,2,0.733333,0.467462,231,245,30,446,
EMU030,3,0.635556,0.49526,231,245,30,446,
EMU030,4,0.711111,0.475191,231,245,30,446,
EMU030,5,0.626667,0.471991,231,245,30,446,
EMU030,6,0.617778,0.542442,231,245,30,446,
EMU030,7,0.693333,0.496447,231,245,30,446,
EMU030,8,0.813333,0.467764,231,245,30,446,
EMU030,9,0.755556,0.49216,231,245,30,446,
EMU030,10,0.693333,0.490227,231,245,30,446,
EMU030,11,0.626667,0.488496,231,245,30,446,
EMU030,12,0.697778,0.556351,231,245,30,446,
EMU030,13,0.604444,0.532659,231,245,30,446,
EMU030,14,0.777778,0.493086,231,245,30,446,
EMU030,15,0.76,0.473843,231,245,30,446,
EMU030,16,0.715556,0.475876,231,245,30,446,
EMU030,17,0.68,0.505666,231,245,30,446,
EMU030,18,0.6,0.514805,231,245,30,446,
EMU030,19,0.76,0.501339,231,245,30,446,
EMU030,20,0.857778,0.504217,231,245,30,446,
EMU030,21,0.684444,0.495038,231,245,30,446,
EMU030,22,0.746667,0.508041,231,245,30,446,
EMU030,23,0.764444,0.502727,231,245,30,446,
EMU030,24,0.604444,0.528392,231,245,30,446,
EMU030,25,0.608889,0.486785,231,245,30,446,
EMU030,26,0.622222,0.49216,231,245,30,446,
EMU030,27,0.648889,0.512671,231,245,30,446,
EMU030,28,0.595556,0.53123,231,245,30,446,
EMU030,29,0.635556,0.509692,231,245,30,446,
EMU030,30,0.595556,0.472212,231,245,30,446,
EMU030,31,0.586667,0.489362,231,245,30,446,
EMU030,32,0.688889,0.513718,231,245,30,446,
EMU030,33,0.644444,0.51869,231,245,30,446,
EMU030,34,0.715556,0.50937,231,245,30,446,
EMU030,35,0.697778,0.495964,231,245,30,446,
EMU030,36,0.608889,0.524769,231,245,30,446,
EMU030,37,0.884444,0.475916,231,245,30,446,
EMU030,38,0.764444,0.495441,231,245,30,446,
EMU030,39,0.622222,0.527929,231,245,30,446,
EMU030,40,0.573333,0.517643,231,245,30,446,
EMU030,41,0.626667,0.522756,231,245,30,446,
EMU030,42,0.591111,0.502446,231,245,30,446,
EMU030,43,0.675556,0.480525,231,245,30,446,
EMU030,44,0.72,0.494817,231,245,30,446,
EMU030,45,0.702222,0.480304,231,245,30,446,
EMU030,46,0.68,0.478472,231,245,30,446,
EMU030,47,0.777778,0.458585,231,245,30,446,
EMU030,48,0.702222,0.469877,231,245,30,446,
EMU030,49,0.608889,0.511785,231,245,30,446,
EMU030,50,0.586667,0.48286,231,245,30,446,
EMU030,51,0.626667,0.483082,231,245,30,446,
EMU030,52,0.697778,0.530847,231,245,30,446,
EMU030,53,0.724444,0.472635,231,245,30,446,
EMU030,54,0.657778,0.49997,231,245,30,446,
EMU030,55,0.555556,0.495139,231,245,30,446,
EMU030,56,0.76,0.526681,231,245,30,446,
EMU030,57,0.737778,0.495622,231,245,30,446,
EMU030,58,0.564444,0.534934,231,245,30,446,
EMU030,59,0.671111,0.503774,231,245,30,446,
EMU030,60,0.764444,0.505364,231,245,30,446,
EMU030,61,0.64,0.487349,231,245,30,446,
EMU030,62,0.595556,0.522071,231,245,30,446,
EMU030,63,0.613333,0.503029,231,245,30,446,
EMU030,64,0.586667,0.47654,231,245,30,446,
EMU030,65,0.666667,0.508484,231,245,30,446,
EMU030,66,0.773333,0.506492,231,245,30,446,
EMU030,67,0.648889,0.509128,231,245,30,446,
EMU030,68,0.64,0.544434,231,245,30,446,
EMU030,69,0.577778,0.494797,231,245,30,446,
EMU030,70,0.711111,0.52811,231,245,30,446,
EMU030,71,0.613333,0.524285,231,245,30,446,
EMU030,72,0.808889,0.538919,231,245,30,446,
EMU030,73,0.622222,0.494817,231,245,30,446,
EMU030,74,0.657778,0.473198,231,245,30,446,
EMU030,75,0.706667,0.487893,231,245,30,446,
EMU030,76,0.706667,0.483665,231,245,30,446,
EMU030,77,0.72,0.491274,231,245,30,446,
EMU030,78,0.76,0.473178,231,245,30,446,
EMU030,79,0.595556,0.525614,231,245,30,446,
EMU030,80,0.626667,0.517281,231,245,30,446,
EMU030,81,0.693333,0.529459,231,245,30,446,
EMU030,82,0.786667,0.480566,231,245,30,446,
EMU030,83,0.613333,0.515952,231,245,30,446,
EMU030,84,0.804444,0.467522,231,245,30,446,
EMU030,85,0.644444,0.487349,231,245,30,446,
EMU030,86,0.684444,0.481995,231,245,30,446,
EMU030,87,0.635556,0.469072,231,245,30,446,
EMU030,88,0.613333,0.507438,231,245,30,446,
EMU030,89,0.64,0.50164,231,245,30,446,
EMU030,90,0.648889,0.475916,231,245,30,446,
EMU030,91,0.711111,0.528412,231,245,30,446,
EMU030,92,0.817778,0.495521,231,245,30,446,
EMU030,93,0.622222,0.513919,231,245,30,446,
EMU030,94,0.64,0.530646,231,245,30,446,
EMU030,95,0.662222,0.527184,231,245,30,446,
EMU030,96,0.671111,0.497816,231,245,30,446,
EMU030,97,0.755556,0.517361,231,245,30,446,
EMU030,98,0.666667,0.48123,231,245,30,446,
